שם,רשת,שם החנות,כתובת,מחיר,מבצע
מי עדן- שישייה 0.75 ליטר - ג'ים,ויקטורי,שבעת הכוכבים,"קניון שבעת הכוכבים, שדרות שבעת הכוכבים 8, הרצליה",16.90,
מי עדן- שישייה 0.75 ליטר - ג'ים,Carrefour market (קרפור מרקט),לב הרצליה,"בן גוריון 2, הרצליה",17.30,
מי עדן- שישייה 0.75 ליטר - ג'ים,פרשמרקט,גליל ים,"קיבוץ גליל ים, הרצליה",17.50,
מי עדן- שישייה 0.75 ליטר - ג'ים,פרשמרקט,הנדיב,"הנדיב 71, הרצליה",17.50,
מי עדן- שישייה 0.75 ליטר - ג'ים,טיפ טוב,ברש,"אשר ברש 31, הרצליה",17.50,
מי עדן- שישייה 0.75 ליטר - ג'ים,טיפ טוב,גולומב,"אליהו גולומב 56, הרצליה",17.50,
מי עדן- שישייה 0.75 ליטר - ג'ים,שופרסל אקספרס,בני בנימין הרצליה,"בני בנימין 23, הרצליה",17.90,
מי עדן- שישייה 0.75 ליטר - ג'ים,סטופמרקט,ארנה,"קניון ארנה, הרצליה",18.90,
מי עדן- שישייה 0.75 ליטר - ג'ים,am:pm,סוקולוב,"סוקולוב 10, הרצליה",19.90,
מי עדן- שישייה 0.75 ליטר - ג'ים,am:pm,הנשיא הרצליה,"הנשיא יצחק בן צבי 75, הרצליה",19.90,
מי עדן- שישייה 0.75 ליטר - ג'ים,Carrefour city (קרפור סיטי),הדר הרצליה,"2 הדר, הרצליה",20.30,
מי עדן- שישייה 0.75 ליטר - ג'ים,Carrefour city (קרפור סיטי),נווה אמירים,"82 בן גוריון, הרצליה",20.30,
מי עדן- שישייה 0.75 ליטר - ג'ים,Carrefour city (קרפור סיטי),הרצליה פיתוח,"34 זהר טל, הרצליה",20.30,
מי עדן- שישייה 0.75 ליטר - ג'ים,Carrefour city (קרפור סיטי),נווה עמל,"19 כצנלסון, הרצליה",20.30,
מי עדן- שישייה 0.75 ליטר - ג'ים,yellow,הרצליה עיר,"74 הרב קוק, הרצליה",23.10,
מי עדן- שישייה 0.75 ליטר - ג'ים,yellow,מתחם אשל,"כביש תא-חיפה מחלף הסירה, הרצליה",23.10,
מי עדן- שישייה 0.75 ליטר - ג'ים,yellow,מתחם רונית,"כביש מס 2 - כביש החוף יציאה מהרצליה, הרצליה",23.10,
